fecha,producto_id,nombre_producto,categoria,precio_unitario,stock_inicial,unidades_vendidas,devoluciones,stock_final,reposicion_este_mes,dias_sin_stock,trafico_tienda,promocion,evento_especial,tiempo_entrega_dias,mes,anio,reponer_proximo_mes
2021-01,1,Zapatilla Soft,zapatilla,32,34,8,2,28,26,0,282,0,0,6,1,2021,0
2021-01,2,Zapatilla Air,zapatilla,98,37,6,1,32,31,0,199,0,0,5,1,2021,0
2021-01,3,Deportiva Urban,deportiva,64,57,15,1,43,42,0,120,0,1,4,1,2021,0
2021-01,4,Zapatilla Verano,zapatilla,32,18,8,2,12,10,0,86,1,0,6,1,2021,28
2021-01,5,Mocasin Soft,mocasin,79,19,15,1,5,4,0,52,0,0,4,1,2021,35
2021-01,6,Bota Urban,bota,88,23,4,1,20,19,0,210,0,1,5,1,2021,0
2021-01,7,Deportiva Retro,deportiva,98,45,22,1,24,23,0,65,0,1,2,1,2021,0
2021-01,8,Bota Clásica,bota,48,42,14,0,28,28,0,100,0,1,1,1,2021,0
2021-01,9,Deportiva Sport,deportiva,37,53,10,2,45,43,0,132,0,0,7,1,2021,0
2021-01,10,Bota Urban,bota,30,38,20,1,19,18,0,207,0,1,4,1,2021,21
2021-01,11,Deportiva Trail,deportiva,38,17,17,0,0,0,0,103,1,0,4,1,2021,40
2021-01,12,Mocasin Air,mocasin,71,43,21,0,22,22,0,222,1,0,6,1,2021,0
2021-01,13,Mocasin Trail,mocasin,83,22,16,1,7,6,0,77,1,0,6,1,2021,33
2021-01,14,Deportiva Clásica,deportiva,42,14,14,0,0,0,3,101,1,0,1,1,2021,40
2021-01,15,Zapatilla Trail,zapatilla,75,13,9,1,5,4,0,237,0,0,7,1,2021,35
2021-01,16,Zapatilla Clásica,zapatilla,86,29,10,2,21,19,0,151,0,0,1,1,2021,0
2021-01,17,Mocasin Trail,mocasin,59,57,0,2,59,57,0,89,0,0,4,1,2021,0
2021-01,18,Bota Verano,bota,88,16,16,0,0,0,1,240,1,1,3,1,2021,40
2021-01,19,Sandalia Invierno,sandalia,97,55,2,1,54,53,0,158,0,0,3,1,2021,0
2021-01,20,Bota Air,bota,62,14,6,1,9,8,0,300,1,0,1,1,2021,31
2021-01,21,Bota Dynamic,bota,38,57,21,0,36,36,0,215,1,1,3,1,2021,0
2021-01,22,Zapatilla Dynamic,zapatilla,85,25,12,2,15,13,0,114,0,0,6,1,2021,25
2021-01,23,Bota Urban,bota,52,60,26,2,36,34,0,141,1,0,5,1,2021,0
2021-01,24,Deportiva Verano,deportiva,79,20,11,0,9,9,0,152,1,0,4,1,2021,31
2021-01,25,Sandalia Urban,sandalia,73,48,1,2,49,47,0,231,0,0,6,1,2021,0
2021-01,26,Deportiva Trail,deportiva,34,47,15,2,34,32,0,75,0,1,3,1,2021,0
2021-01,27,Bota Dynamic,bota,62,10,10,1,1,0,0,232,0,1,3,1,2021,39
2021-01,28,Sandalia Urban,sandalia,99,47,23,1,25,24,0,270,1,0,3,1,2021,0
2021-01,29,Deportiva Air,deportiva,94,32,11,2,23,21,0,101,1,0,2,1,2021,0
2021-01,30,Mocasin Sport,mocasin,63,54,7,2,49,47,0,78,1,0,1,1,2021,0
2021-02,1,Zapatilla Soft,zapatilla,32,38,14,0,24,24,0,108,0,1,6,2,2021,0
2021-02,2,Zapatilla Air,zapatilla,98,25,11,1,15,14,0,101,0,0,1,2,2021,25
2021-02,3,Deportiva Urban,deportiva,64,11,7,1,5,4,0,241,1,0,3,2,2021,35
2021-02,4,Zapatilla Verano,zapatilla,32,12,3,0,9,9,0,176,0,0,6,2,2021,31
2021-02,5,Mocasin Soft,mocasin,79,52,16,0,36,36,0,112,1,0,6,2,2021,0
2021-02,6,Bota Urban,bota,88,26,5,1,22,21,0,247,0,0,1,2,2021,0
2021-02,7,Deportiva Retro,deportiva,98,56,25,1,32,31,0,54,1,0,5,2,2021,0
2021-02,8,Bota Clásica,bota,48,16,7,2,11,9,0,167,0,0,4,2,2021,29
2021-02,9,Deportiva Sport,deportiva,37,10,7,1,4,3,0,196,1,0,3,2,2021,36
2021-02,10,Bota Urban,bota,30,34,11,0,23,23,0,71,0,0,7,2,2021,0
2021-02,11,Deportiva Trail,deportiva,38,27,14,0,13,13,0,286,0,0,1,2,2021,27
2021-02,12,Mocasin Air,mocasin,71,54,8,2,48,46,0,126,0,0,1,2,2021,0
2021-02,13,Mocasin Trail,mocasin,83,37,6,2,33,31,0,299,0,0,3,2,2021,0
2021-02,14,Deportiva Clásica,deportiva,42,56,9,2,49,47,0,271,0,0,1,2,2021,0
2021-02,15,Zapatilla Trail,zapatilla,75,43,3,0,40,40,0,208,0,1,6,2,2021,0
2021-02,16,Zapatilla Clásica,zapatilla,86,54,28,0,26,26,0,174,0,0,6,2,2021,0
2021-02,17,Mocasin Trail,mocasin,59,24,21,1,4,3,0,208,1,0,2,2,2021,36
2021-02,18,Bota Verano,bota,88,55,22,1,34,33,0,215,1,0,1,2,2021,0
2021-02,19,Sandalia Invierno,sandalia,97,58,21,1,38,37,0,235,0,0,5,2,2021,0
2021-02,20,Bota Air,bota,62,32,2,0,30,30,0,66,1,0,2,2,2021,0
2021-02,21,Bota Dynamic,bota,38,32,18,1,15,14,0,212,1,1,7,2,2021,25
2021-02,22,Zapatilla Dynamic,zapatilla,85,26,20,0,6,6,0,263,0,0,7,2,2021,34
2021-02,23,Bota Urban,bota,52,15,15,2,2,0,0,67,1,0,2,2,2021,38
2021-02,24,Deportiva Verano,deportiva,79,40,20,0,20,20,0,287,0,1,7,2,2021,0
2021-02,25,Sandalia Urban,sandalia,73,34,6,2,30,28,0,191,0,0,2,2,2021,0
2021-02,26,Deportiva Trail,deportiva,34,10,5,2,7,5,0,182,0,1,4,2,2021,33
2021-02,27,Bota Dynamic,bota,62,11,11,2,2,0,0,67,1,0,4,2,2021,38
2021-02,28,Sandalia Urban,sandalia,99,22,15,1,8,7,0,300,1,0,1,2,2021,32
2021-02,29,Deportiva Air,deportiva,94,56,26,0,30,30,0,287,1,0,5,2,2021,0
2021-02,30,Mocasin Sport,mocasin,63,31,11,2,22,20,0,299,1,0,6,2,2021,0
2021-03,1,Zapatilla Soft,zapatilla,32,53,6,1,48,47,0,173,0,0,3,3,2021,0
2021-03,2,Zapatilla Air,zapatilla,98,28,14,2,16,14,0,236,0,1,2,3,2021,24
2021-03,3,Deportiva Urban,deportiva,64,22,10,1,13,12,0,135,1,0,3,3,2021,27
2021-03,4,Zapatilla Verano,zapatilla,32,11,11,0,0,0,3,225,0,0,6,3,2021,40
2021-03,5,Mocasin Soft,mocasin,79,46,7,1,40,39,0,162,1,0,5,3,2021,0
2021-03,6,Bota Urban,bota,88,33,15,2,20,18,0,236,1,0,2,3,2021,0
2021-03,7,Deportiva Retro,deportiva,98,51,14,0,37,37,0,138,1,0,2,3,2021,0
2021-03,8,Bota Clásica,bota,48,30,13,1,18,17,0,295,1,0,7,3,2021,22
2021-03,9,Deportiva Sport,deportiva,37,40,4,0,36,36,0,148,0,0,7,3,2021,0
2021-03,10,Bota Urban,bota,30,60,23,1,38,37,0,186,0,0,7,3,2021,0
2021-03,11,Deportiva Trail,deportiva,38,54,5,0,49,49,0,112,0,0,6,3,2021,0
2021-03,12,Mocasin Air,mocasin,71,55,20,2,37,35,0,186,1,0,2,3,2021,0
2021-03,13,Mocasin Trail,mocasin,83,14,11,2,5,3,0,92,0,0,1,3,2021,35
2021-03,14,Deportiva Clásica,deportiva,42,26,14,0,12,12,0,208,1,0,3,3,2021,28
2021-03,15,Zapatilla Trail,zapatilla,75,34,10,0,24,24,0,76,0,0,6,3,2021,0
2021-03,16,Zapatilla Clásica,zapatilla,86,59,10,1,50,49,0,289,0,0,2,3,2021,0
2021-03,17,Mocasin Trail,mocasin,59,53,21,2,34,32,0,283,0,0,4,3,2021,0
2021-03,18,Bota Verano,bota,88,52,18,0,34,34,0,188,0,0,7,3,2021,0
2021-03,19,Sandalia Invierno,sandalia,97,52,12,2,42,40,0,248,0,1,6,3,2021,0
2021-03,20,Bota Air,bota,62,10,6,0,4,4,0,287,1,0,2,3,2021,36
2021-03,21,Bota Dynamic,bota,38,46,17,1,30,29,0,158,0,0,2,3,2021,0
2021-03,22,Zapatilla Dynamic,zapatilla,85,41,21,1,21,20,0,297,1,1,7,3,2021,0
2021-03,23,Bota Urban,bota,52,25,16,1,10,9,0,97,0,1,4,3,2021,30
2021-03,24,Deportiva Verano,deportiva,79,23,21,2,4,2,0,82,1,0,2,3,2021,36
2021-03,25,Sandalia Urban,sandalia,73,30,10,0,20,20,0,166,0,1,3,3,2021,0
2021-03,26,Deportiva Trail,deportiva,34,10,10,0,0,0,1,257,1,0,7,3,2021,40
2021-03,27,Bota Dynamic,bota,62,60,5,0,55,55,0,284,0,0,3,3,2021,0
2021-03,28,Sandalia Urban,sandalia,99,59,6,2,55,53,0,127,0,1,5,3,2021,0
2021-03,29,Deportiva Air,deportiva,94,47,13,0,34,34,0,71,0,0,2,3,2021,0
2021-03,30,Mocasin Sport,mocasin,63,13,13,1,1,0,0,300,1,0,2,3,2021,39
2021-04,1,Zapatilla Soft,zapatilla,32,43,13,1,31,30,0,84,0,0,7,4,2021,0
2021-04,2,Zapatilla Air,zapatilla,98,39,21,0,18,18,0,210,0,0,3,4,2021,22
2021-04,3,Deportiva Urban,deportiva,64,55,3,0,52,52,0,223,0,0,6,4,2021,0
2021-04,4,Zapatilla Verano,zapatilla,32,41,22,1,20,19,0,100,1,0,2,4,2021,0
2021-04,5,Mocasin Soft,mocasin,79,57,9,0,48,48,0,283,0,0,6,4,2021,0
2021-04,6,Bota Urban,bota,88,35,8,0,27,27,0,256,1,0,3,4,2021,0
2021-04,7,Deportiva Retro,deportiva,98,33,3,1,31,30,0,228,0,1,5,4,2021,0
2021-04,8,Bota Clásica,bota,48,22,5,1,18,17,0,295,1,0,7,4,2021,22
2021-04,9,Deportiva Sport,deportiva,37,44,16,0,28,28,0,133,1,0,6,4,2021,0
2021-04,10,Bota Urban,bota,30,11,2,0,9,9,0,174,1,0,1,4,2021,31
2021-04,11,Deportiva Trail,deportiva,38,23,18,0,5,5,0,118,1,0,1,4,2021,35
2021-04,12,Mocasin Air,mocasin,71,48,13,1,36,35,0,182,1,0,6,4,2021,0
2021-04,13,Mocasin Trail,mocasin,83,59,27,1,33,32,0,131,1,0,7,4,2021,0
2021-04,14,Deportiva Clásica,deportiva,42,54,24,2,32,30,0,97,0,0,2,4,2021,0
2021-04,15,Zapatilla Trail,zapatilla,75,47,21,2,28,26,0,163,1,0,7,4,2021,0
2021-04,16,Zapatilla Clásica,zapatilla,86,57,12,0,45,45,0,245,0,1,4,4,2021,0
2021-04,17,Mocasin Trail,mocasin,59,48,9,2,41,39,0,153,0,0,2,4,2021,0
2021-04,18,Bota Verano,bota,88,39,15,0,24,24,0,199,1,0,6,4,2021,0
2021-04,19,Sandalia Invierno,sandalia,97,56,2,0,54,54,0,121,0,0,3,4,2021,0
2021-04,20,Bota Air,bota,62,59,20,0,39,39,0,153,1,0,5,4,2021,0
2021-04,21,Bota Dynamic,bota,38,29,14,0,15,15,0,212,1,0,1,4,2021,25
2021-04,22,Zapatilla Dynamic,zapatilla,85,53,8,0,45,45,0,186,0,0,1,4,2021,0
2021-04,23,Bota Urban,bota,52,54,8,2,48,46,0,122,1,0,2,4,2021,0
2021-04,24,Deportiva Verano,deportiva,79,36,5,0,31,31,0,56,0,0,7,4,2021,0
2021-04,25,Sandalia Urban,sandalia,73,25,1,1,25,24,0,265,0,0,6,4,2021,0
2021-04,26,Deportiva Trail,deportiva,34,45,8,1,38,37,0,220,0,0,7,4,2021,0
2021-04,27,Bota Dynamic,bota,62,50,26,1,25,24,0,119,0,0,4,4,2021,0
2021-04,28,Sandalia Urban,sandalia,99,49,35,0,14,14,0,52,0,1,4,4,2021,26
2021-04,29,Deportiva Air,deportiva,94,25,25,0,0,0,4,103,0,1,3,4,2021,40
2021-04,30,Mocasin Sport,mocasin,63,32,10,2,24,22,0,104,1,0,4,4,2021,0
2021-05,1,Zapatilla Soft,zapatilla,32,21,17,1,5,4,0,231,0,0,7,5,2021,35
2021-05,2,Zapatilla Air,zapatilla,98,47,11,1,37,36,0,241,1,0,6,5,2021,0
2021-05,3,Deportiva Urban,deportiva,64,43,8,2,37,35,0,166,1,0,4,5,2021,0
2021-05,4,Zapatilla Verano,zapatilla,32,19,19,1,1,0,0,69,1,0,7,5,2021,39
2021-05,5,Mocasin Soft,mocasin,79,60,15,1,46,45,0,129,0,1,5,5,2021,0
2021-05,6,Bota Urban,bota,88,29,11,0,18,18,0,87,0,0,5,5,2021,22
2021-05,7,Deportiva Retro,deportiva,98,10,10,1,1,0,0,179,0,0,4,5,2021,39
2021-05,8,Bota Clásica,bota,48,28,5,1,24,23,0,153,1,0,2,5,2021,0
2021-05,9,Deportiva Sport,deportiva,37,42,13,2,31,29,0,57,0,0,7,5,2021,0
2021-05,10,Bota Urban,bota,30,55,11,2,46,44,0,226,0,1,7,5,2021,0
2021-05,11,Deportiva Trail,deportiva,38,30,8,0,22,22,0,102,0,1,7,5,2021,0
2021-05,12,Mocasin Air,mocasin,71,31,9,1,23,22,0,175,1,0,6,5,2021,0
2021-05,13,Mocasin Trail,mocasin,83,28,13,2,17,15,0,236,1,0,3,5,2021,23
2021-05,14,Deportiva Clásica,deportiva,42,45,19,1,27,26,0,62,1,1,7,5,2021,0
2021-05,15,Zapatilla Trail,zapatilla,75,37,13,1,25,24,0,202,0,0,4,5,2021,0
2021-05,16,Zapatilla Clásica,zapatilla,86,43,17,0,26,26,0,104,1,0,7,5,2021,0
2021-05,17,Mocasin Trail,mocasin,59,18,7,1,12,11,0,237,0,0,6,5,2021,28
2021-05,18,Bota Verano,bota,88,42,13,2,31,29,0,56,0,0,3,5,2021,0
2021-05,19,Sandalia Invierno,sandalia,97,22,17,0,5,5,0,212,1,0,3,5,2021,35
2021-05,20,Bota Air,bota,62,17,17,0,0,0,4,173,0,1,3,5,2021,40
2021-05,21,Bota Dynamic,bota,38,47,13,1,35,34,0,184,0,0,2,5,2021,0
2021-05,22,Zapatilla Dynamic,zapatilla,85,19,9,1,11,10,0,249,1,0,5,5,2021,29
2021-05,23,Bota Urban,bota,52,51,13,2,40,38,0,136,1,0,4,5,2021,0
2021-05,24,Deportiva Verano,deportiva,79,26,6,0,20,20,0,151,0,0,4,5,2021,0
2021-05,25,Sandalia Urban,sandalia,73,18,6,0,12,12,0,237,1,1,3,5,2021,28
2021-05,26,Deportiva Trail,deportiva,34,19,19,0,0,0,5,53,0,0,6,5,2021,40
2021-05,27,Bota Dynamic,bota,62,41,6,1,36,35,0,57,0,0,6,5,2021,0
2021-05,28,Sandalia Urban,sandalia,99,52,7,1,46,45,0,83,1,0,4,5,2021,0
2021-05,29,Deportiva Air,deportiva,94,51,25,2,28,26,0,103,0,1,6,5,2021,0
2021-05,30,Mocasin Sport,mocasin,63,52,15,2,39,37,0,243,1,1,4,5,2021,0
2021-06,1,Zapatilla Soft,zapatilla,32,20,4,0,16,16,0,130,0,0,6,6,2021,24
2021-06,2,Zapatilla Air,zapatilla,98,33,16,1,18,17,0,220,0,1,2,6,2021,22
2021-06,3,Deportiva Urban,deportiva,64,34,17,0,17,17,0,258,1,0,2,6,2021,23
2021-06,4,Zapatilla Verano,zapatilla,32,53,10,1,44,43,0,157,0,0,5,6,2021,0
2021-06,5,Mocasin Soft,mocasin,79,14,14,2,2,0,0,231,1,0,2,6,2021,38
2021-06,6,Bota Urban,bota,88,38,26,0,12,12,0,300,1,0,5,6,2021,28
2021-06,7,Deportiva Retro,deportiva,98,56,5,0,51,51,0,189,0,0,7,6,2021,0
2021-06,8,Bota Clásica,bota,48,55,15,2,42,40,0,288,0,0,5,6,2021,0
2021-06,9,Deportiva Sport,deportiva,37,32,20,2,14,12,0,260,1,0,1,6,2021,26
2021-06,10,Bota Urban,bota,30,11,11,1,1,0,0,68,0,0,4,6,2021,39
2021-06,11,Deportiva Trail,deportiva,38,36,10,0,26,26,0,106,1,0,4,6,2021,0
2021-06,12,Mocasin Air,mocasin,71,19,4,0,15,15,0,59,1,0,5,6,2021,25
2021-06,13,Mocasin Trail,mocasin,83,10,2,2,10,8,0,119,0,0,1,6,2021,30
2021-06,14,Deportiva Clásica,deportiva,42,28,3,2,27,25,0,211,0,0,5,6,2021,0
2021-06,15,Zapatilla Trail,zapatilla,75,23,10,1,14,13,0,66,0,0,1,6,2021,26
2021-06,16,Zapatilla Clásica,zapatilla,86,44,18,1,27,26,0,249,1,0,2,6,2021,0
2021-06,17,Mocasin Trail,mocasin,59,37,18,1,20,19,0,188,0,0,4,6,2021,0
2021-06,18,Bota Verano,bota,88,53,8,2,47,45,0,122,1,0,6,6,2021,0
2021-06,19,Sandalia Invierno,sandalia,97,57,20,1,38,37,0,250,0,1,6,6,2021,0
2021-06,20,Bota Air,bota,62,44,14,1,31,30,0,192,0,0,6,6,2021,0
2021-06,21,Bota Dynamic,bota,38,16,14,1,3,2,0,192,1,0,7,6,2021,37
2021-06,22,Zapatilla Dynamic,zapatilla,85,57,19,0,38,38,0,173,1,1,5,6,2021,0
2021-06,23,Bota Urban,bota,52,48,19,1,30,29,0,216,0,0,5,6,2021,0
2021-06,24,Deportiva Verano,deportiva,79,32,8,2,26,24,0,162,0,0,4,6,2021,0
2021-06,25,Sandalia Urban,sandalia,73,57,10,0,47,47,0,182,1,0,1,6,2021,0
2021-06,26,Deportiva Trail,deportiva,34,16,16,0,0,0,4,106,1,0,1,6,2021,40
2021-06,27,Bota Dynamic,bota,62,15,12,0,3,3,0,179,0,0,3,6,2021,37
2021-06,28,Sandalia Urban,sandalia,99,53,14,0,39,39,0,199,0,0,2,6,2021,0
2021-06,29,Deportiva Air,deportiva,94,43,11,1,33,32,0,232,0,0,3,6,2021,0
2021-06,30,Mocasin Sport,mocasin,63,42,12,2,32,30,0,68,1,0,7,6,2021,0
2021-07,1,Zapatilla Soft,zapatilla,32,39,5,2,36,34,0,298,0,0,2,7,2021,0
2021-07,2,Zapatilla Air,zapatilla,98,51,2,1,50,49,0,271,0,0,5,7,2021,0
2021-07,3,Deportiva Urban,deportiva,64,51,13,1,39,38,0,88,1,0,4,7,2021,0
2021-07,4,Zapatilla Verano,zapatilla,32,54,9,0,45,45,0,199,1,0,7,7,2021,0
2021-07,5,Mocasin Soft,mocasin,79,37,19,0,18,18,0,199,1,1,4,7,2021,22
2021-07,6,Bota Urban,bota,88,55,10,1,46,45,0,78,0,0,2,7,2021,0
2021-07,7,Deportiva Retro,deportiva,98,37,7,2,32,30,0,196,0,0,6,7,2021,0
2021-07,8,Bota Clásica,bota,48,55,17,1,39,38,0,56,0,1,6,7,2021,0
2021-07,9,Deportiva Sport,deportiva,37,15,15,1,1,0,0,256,1,0,7,7,2021,39
2021-07,10,Bota Urban,bota,30,35,11,2,26,24,0,191,0,0,6,7,2021,0
2021-07,11,Deportiva Trail,deportiva,38,18,9,2,11,9,0,297,1,0,1,7,2021,29
2021-07,12,Mocasin Air,mocasin,71,55,17,2,40,38,0,59,1,0,5,7,2021,0
2021-07,13,Mocasin Trail,mocasin,83,13,13,1,1,0,0,235,0,1,2,7,2021,39
2021-07,14,Deportiva Clásica,deportiva,42,24,19,1,6,5,0,162,1,0,7,7,2021,34
2021-07,15,Zapatilla Trail,zapatilla,75,34,13,2,23,21,0,250,0,1,7,7,2021,0
2021-07,16,Zapatilla Clásica,zapatilla,86,39,11,0,28,28,0,93,0,0,4,7,2021,0
2021-07,17,Mocasin Trail,mocasin,59,39,7,0,32,32,0,145,1,0,4,7,2021,0
2021-07,18,Bota Verano,bota,88,26,13,0,13,13,0,108,0,1,3,7,2021,27
2021-07,19,Sandalia Invierno,sandalia,97,21,9,2,14,12,0,203,0,1,2,7,2021,26
2021-07,20,Bota Air,bota,62,18,15,1,4,3,0,181,1,0,6,7,2021,36
2021-07,21,Bota Dynamic,bota,38,51,7,2,46,44,0,66,0,0,4,7,2021,0
2021-07,22,Zapatilla Dynamic,zapatilla,85,25,22,0,3,3,0,268,1,1,7,7,2021,37
2021-07,23,Bota Urban,bota,52,31,6,2,27,25,0,276,0,0,7,7,2021,0
2021-07,24,Deportiva Verano,deportiva,79,48,4,0,44,44,0,128,1,0,2,7,2021,0
2021-07,25,Sandalia Urban,sandalia,73,45,14,0,31,31,0,157,0,0,3,7,2021,0
2021-07,26,Deportiva Trail,deportiva,34,39,11,2,30,28,0,249,1,0,7,7,2021,0
2021-07,27,Bota Dynamic,bota,62,21,18,1,4,3,0,115,0,1,5,7,2021,36
2021-07,28,Sandalia Urban,sandalia,99,56,11,0,45,45,0,125,1,0,3,7,2021,0
2021-07,29,Deportiva Air,deportiva,94,58,17,1,42,41,0,96,1,0,1,7,2021,0
2021-07,30,Mocasin Sport,mocasin,63,54,19,1,36,35,0,174,1,0,7,7,2021,0
2021-08,1,Zapatilla Soft,zapatilla,32,28,6,1,23,22,0,272,1,0,4,8,2021,0
2021-08,2,Zapatilla Air,zapatilla,98,19,12,2,9,7,0,172,0,0,5,8,2021,31
2021-08,3,Deportiva Urban,deportiva,64,35,9,0,26,26,0,119,0,0,3,8,2021,0
2021-08,4,Zapatilla Verano,zapatilla,32,58,19,2,41,39,0,244,1,1,4,8,2021,0
